Window_Size,Num_Clusters,Mean_Simplicity,Net_Count
2,2,0.7897435897435898,2
2,3,0.8534798534798536,3
2,4,0.8831168831168831,4
2,5,0.875098814229249,5
3,2,0.7056277056277056,2
3,3,0.8178053830227743,3
3,4,0.8194805194805195,4
3,5,0.7708717719062547,5
4,2,0.6890012642225032,2
4,3,0.7803787229993339,3
4,4,0.752321463182563,4
4,5,0.7249340936229736,5
5,2,0.7222222222222223,2
5,3,0.7468123861566485,3
5,4,0.715191932335719,4
5,5,0.7413894225907574,5
6,2,0.6395592132793975,2
6,3,0.6471664849879554,3
6,4,0.6539454418130889,4
6,5,0.7149512252453429,5
7,2,0.6119402985074627,2
7,3,0.6980146290491118,3
7,4,0.7061309030654516,4
7,5,0.7002424130841695,5
8,2,0.6409874441370504,2
8,3,0.629911674855495,3
8,4,0.6388017659569384,4
8,5,0.6317142470801007,5
